window,agent,sharpe,sortino,avg_account_value,final_account_value,total_trades,profit_loss,avg_daily_reward,max_drawdown,features_used
1,DDPG,-1.8555968812512,-2.4857035572474,648327.364042414,471284.68387,0,"-528,715.32",-1.02967091643348,674762.79,Baseline
2,DDPG,3.8308680777446,7.36084642791613,1255991.20439886,1602565.566123,0,"602,565.57",0.973299619260021,219546.67,Baseline
3,PPO,1.66933516658119,2.41730886089107,1011635.54000431,1199163.44454962,1,"199,163.44",0.336490115498083,268915.07691828,Baseline
4,DDPG,-0.399669733147002,-0.625045991743582,1051076.6631031,940433.64931,0,"-59,566.35",-0.112218444203508,252007,Baseline
5,PPO,-1.41294945462589,-2.27158692598515,764984.458272374,768944.275592717,16,"-231,055.72",-0.365435386269257,347089.274426231,Baseline
6,PPO,0.126619565206698,0.199032487384902,1067376.30544992,964823.19208686,9,"-35,176.81",-0.0675303355591104,249643.99647842,Baseline
7,PPO,-3.56215300409297,-4.36614741750353,681041.513691085,518565.085672198,9,"-481,434.91",-0.71577170838056,448809.499504481,Baseline
8,PPO,2.24822671851203,3.84678640244539,1454633.39099059,1428652.481163,0,"428,652.48",0.727515850922672,521712.23,Baseline
9,DDPG,0.649248892278693,0.915909502065965,977824.251418,1017493.391418,1,"17,493.39",0.0448816667421386,196609.54,Baseline
10,PPO,-1.68277393384674,-1.84925844307591,834723.024317505,805437.052543886,13,"-194,562.95",-0.302929567285524,274797.604256795,Baseline
11,DDPG,4.50006246419794,9.42762479800023,1315001.8212739,1400656.180067,0,"400,656.18",0.690721133852313,124909.49,Baseline
12,A2C,2.33408494493084,3.56588212436289,1154692.17386972,1193450.18694262,1,"193,450.19",0.348074711942379,176621.93501548,Baseline
13,PPO,-3.30702297526312,-3.49191309278225,859197.186822916,759775.266381977,16,"-240,224.73",-0.420227222465749,280683.237795154,Baseline
14,DDPG,-1.26291910188224,-1.81342402080582,956358.503810526,907828.8196,0,"-92,171.18",-0.161528417285074,185359.2,Baseline
15,A2C,5.0560081963874,13.753233878002,1088398.92692357,1337729.88391303,2,"337,729.88",0.568293639727063,49064.8027416699,Baseline
16,A2C,3.56247847922117,6.03606675274593,1128471.53554426,1283912.31398265,1,"283,912.31",0.517974339361335,105549.68423638,Baseline
17,DDPG,3.45638574699315,7.34362589123786,1051082.3473531,1304730.43356,0,"304,730.43",0.505695175764889,101183.2,Baseline
18,PPO,-0.233500905269856,-0.359394529805813,1056766.08456924,957975.722502841,20,"-42,024.28",-0.208606489100739,196813.273972519,Baseline
19,A2C,-0.957379847469852,-1.42795147720386,1003793.47441351,941127.090988781,56,"-58,872.91",-0.101697426096633,204570.392448405,Baseline
20,DDPG,0.731722832673333,1.1696364188008,939797.055666552,922537.34877,0,"-77,462.65",-0.063869821742691,238290.9,Baseline
21,PPO,0.88162865852929,1.30092098651996,1017794.28013235,1028776.15618547,4,"28,776.16",0.0123820683713686,136043.867979847,Baseline
22,A2C,3.65990611464226,6.58584792252028,1268657.01680185,1274586.16268749,88,"274,586.16",0.478333212515531,183312.94451414,Baseline
23,A2C,-1.35326387320608,-1.92114649177939,934883.987176724,883431.415625,0,"-116,568.58",-0.221862246186055,226216.05,Baseline
24,DDPG,0.307405441234296,0.425014077697526,1022983.28034514,1027069.457488,0,"27,069.46",0.0050137078921709,143191.68,Baseline
1,PPO,-1.8555968812512,-2.4857035572474,648327.364042414,471284.68387,0,"-528,715.32",-1.02967091643348,674762.79,Tur+Vol
2,PPO,3.14897513507101,6.11939346606251,1219590.27654889,1504805.02900733,3,"504,805.03",0.811830539529309,245820.42565225,Tur+Vol
3,PPO,2.09214135274462,3.04475969950819,1063825.16641402,1252070.93855449,3,"252,070.94",0.412620606161338,245807.585323169,Tur+Vol
4,PPO,-0.985469062462943,-1.35600662241004,1017679.89145863,900863.442843822,0,"-99,136.56",-0.227981900667836,262007.417262003,Tur+Vol
5,A2C,-1.08170816710813,-1.81404778694878,794297.800657695,796463.321686411,53,"-203,536.68",-0.296189144510648,273256.832216034,Tur+Vol
6,DDPG,0.323711319962856,0.492901905505646,1087827.89947429,1007648.81376,0,"7,648.81",-0.0362628656772091,195857.6,Tur+Vol
7,A2C,-4.92561133157478,-7.01785948424857,570282.583757241,362865.81824,0,"-637,134.18",-0.985390322186566,577224.8,Tur+Vol
8,A2C,2.35249693961888,3.83996116515404,1276547.81170345,1289814.0186,0,"289,814.02",0.492744834772473,239534,Tur+Vol
9,A2C,0.649248892278693,0.915909502065965,977824.251418,1017493.391418,1,"17,493.39",0.0448816667421386,196609.54,Tur+Vol
10,A2C,-1.76503315735861,-2.33242615977558,863108.655173448,758805.31207,0,"-241,194.69",-0.395987578250211,380935.8,Tur+Vol
11,A2C,4.40665305403225,9.22889973030555,1333291.8376054,1420054.076972,23,"420,054.08",0.723489956223759,127914.23160159,Tur+Vol
12,PPO,2.93801818647728,4.82574427476495,1137566.69558772,1210042.89831042,3,"210,042.90",0.37695766098841,105809.91463364,Tur+Vol
13,PPO,-3.3127204709869,-3.49748351752931,861168.948491035,761197.61056,0,"-238,802.39",-0.425931047198588,281934.4,Tur+Vol
14,PPO,-2.13463854553929,-2.54782491361612,945360.739938089,893334.041002996,64,"-106,665.96",-0.208969723561715,176664.010808309,Tur+Vol
15,A2C,1.49475042667755,2.60812935731255,1003189.67638576,1058395.11053,1,"58,395.11",0.0935940342813226,61294.8999999999,Tur+Vol
16,A2C,3.65669851591345,5.21892099595601,1094923.95302862,1391220.42027,0,"391,220.42",0.644435192618906,129855.2,Tur+Vol
17,PPO,5.42264009310926,8.18015628972864,1077980.25104116,1412828.45601887,7,"412,828.46",0.748999626391792,126422.165033051,Tur+Vol
18,PPO,3.32357261696491,6.06285361266369,1352646.37231018,1382140.04424,1,"382,140.04",0.670421121936094,298625,Tur+Vol
19,PPO,0.0443376724984171,0.0729256610103948,1027107.59599654,988277.331936652,23,"-11,722.67",-0.0202114860093669,228018.693903271,Tur+Vol
20,DDPG,0.731722832673333,1.1696364188008,939797.055666552,922537.34877,0,"-77,462.65",-0.063869821742691,238290.9,Tur+Vol
21,A2C,2.90839854260642,4.60879531637117,1101504.70609097,1179436.03917999,2,"179,436.04",0.252275928097256,105203.44631437,Tur+Vol
22,A2C,2.72327894269259,5.03090814646268,1155147.92446345,1230561.49136,0,"230,561.49",0.411223162752416,174312.8,Tur+Vol
23,PPO,-1.35326387320608,-1.92114649177939,934883.987176724,883431.415625,0,"-116,568.58",-0.221862246186055,226216.05,Tur+Vol
24,A2C,0.307405441234296,0.425014077697526,1022983.28034514,1027069.457488,0,"27,069.46",0.0050137078921709,143191.68,Tur+Vol
1,PPO,-1.92602820744731,-2.56152457073055,624137.504827586,453054.67,8,"-546,945.33",-0.979958458184386,648446.63,Sentiment
2,PPO,3.83086807709213,7.36084642764606,1255991.20827586,1602565.57,0,"602,565.57",0.973299619260021,219546.67,Sentiment
3,DDPG,1.04135329059265,1.60234886537459,933729.099661017,1120061.91,0,"120,061.91",0.22180134588379,309125.79,Sentiment
4,DDPG,-0.399669733357428,-0.625045992058761,1051076.6637931,940433.65,0,"-59,566.35",-0.112218444203508,252007,Sentiment
5,PPO,-0.752478437929145,-1.21586096630098,817068.732241379,845259.28,4,"-154,740.72",-0.220948893962235,258346.04,Sentiment
6,PPO,0.323711320854073,0.49290190688452,1087827.89571429,1007648.81,0,"7,648.81",-0.0362628656772091,195857.6,Sentiment
7,PPO,-4.32127585749709,-5.36309100161251,738913.246206897,536053.76,24,"-463,946.24",-0.785151159258335,465394.79,Sentiment
8,PPO,2.35249693916,3.83996116421089,1276547.81310345,1289814.02,0,"289,814.02",0.492744834772473,239534,Sentiment
9,A2C,0.64889602233098,0.915378382869036,977796.316779661,1017461.93,6,"17,461.93",0.0448283498822627,196609.54,Sentiment
10,DDPG,-1.76503315636394,-2.33242615887752,863108.653103449,758805.31,0,"-241,194.69",-0.395987578250211,380935.8,Sentiment
11,A2C,4.47817860251986,9.34620713347224,1316112.74775862,1401330.95,13,"401,330.95",0.691884527304049,125547.89,Sentiment
12,DDPG,3.30723034942205,6.51498607158808,1217972.10535714,1303639.6,1,"303,639.60",0.535815068720175,143240.85,Sentiment
13,PPO,-3.31410173857931,-3.49925048730103,866263.416206897,765707.62,1,"-234,292.38",-0.403952391079531,283677.78,Sentiment
14,DDPG,-1.25194261627504,-1.78160956439009,956878.447586207,907828.82,0,"-92,171.18",-0.158743444573263,185359.2,Sentiment
15,DDPG,1.49475044038711,2.60812938460915,1003189.67576271,1058395.11,1,"58,395.11",0.0935940342813226,61294.9,Sentiment
16,PPO,3.23893521256091,4.85730365849364,1139667.58241379,1223232.03,24,"223,232.03",0.381920657409676,76486.76,Sentiment
17,DDPG,5.46986992472742,10.176199878026,1096304.57137931,1457010.29,0,"457,010.29",0.894574216117376,169332.88,Sentiment
18,A2C,-0.0453464780340077,-0.0694941985041023,1071474.92719298,977421.86,15,"-22,578.14",-0.177489911777931,192681.39,Sentiment
19,A2C,-0.121172365685758,-0.192401566294651,1026513.80931034,982699.73,0,"-17,300.27",-0.0258386142808817,244891.4,Sentiment
20,A2C,0.782002013418412,1.26775356242682,981107.675517242,958355.52,6,"-41,644.48",-0.0221389047159201,242804.06,Sentiment
21,PPO,3.02517583640743,4.78118298676864,1103131.04915254,1187354.64,0,"187,354.64",0.265992929622279,102858.08,Sentiment
22,DDPG,2.72327894319312,5.0309081478531,1155147.92310345,1230561.49,0,"230,561.49",0.411223162752416,174312.8,Sentiment
23,PPO,-1.25058883916651,-2.02844882859861,952620.034482759,895502.79,10,"-104,497.21",-0.197917630253681,242470.03,Sentiment
24,A2C,-1.26310989257871,-1.77309682792272,837466.384464286,826070.47,2,"-173,929.53",-0.36797579780354,335943.39,Sentiment
