account_value,account_value,account_value,account_value,account_value,account_value,account_value,account_value,daily_return,daily_return,daily_return,daily_return,daily_return,daily_return,daily_return,daily_return,fear_greed_mapped,fear_greed_mapped,fear_greed_mapped,fear_greed_mapped,fear_greed_mapped,fear_greed_mapped,fear_greed_mapped,fear_greed_mapped
count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
90.0,1330468.8226666667,164153.90618611622,1000000.0,1235573.325,1319107.6,1476207.675,1639335.2,90.0,0.006415284542087777,0.0455163058514929,-0.1559988341,-0.016174795115,0.0072092620785,0.0331554063475,0.1122705232,90.0,0.6777777777777778,1.1300569517096761,-2.0,0.25,1.0,1.0,2.0
90.0,1157398.8555555556,123645.22907960275,958527.4,1044107.9,1179127.0,1261834.15,1386420.0,90.0,5.551530455333398e-05,0.031880707260202173,-0.0861457385,-0.01670223249,-0.0001610826648,0.0202457779725,0.07311891444,90.0,0.12222222222222222,1.339359043233604,-2.0,-1.0,1.0,1.0,2.0
90.0,773676.0840000004,122524.03983066314,599388.04,665874.04,746472.04,887172.04,1020396.04,90.0,-0.002907148732966667,0.0398859730413553,-0.1278445424,-0.0311723006,-0.003313857257,0.023930505205,0.09853485738,90.0,-1.288888888888889,0.8379274115734412,-2.0,-2.0,-1.0,-1.0,1.0
87.0,1109180.2055172413,64913.76757027077,985208.08,1057768.085,1108687.02,1149788.29,1241426.2,87.0,0.0011736694722068951,0.03225145885150381,-0.0739069289,-0.020975567365,0.002661267659,0.01929253455,0.1197174001,87.0,-0.9080459770114943,1.018802122741897,-2.0,-2.0,-1.0,-1.0,1.0
89.0,690995.8878651685,168263.7814532986,411483.89,623840.92,660734.27,866563.6,1000000.0,89.0,-0.008973411410589438,0.038884531939008454,-0.1538534637,-0.02670479519,-0.00437711805,0.01484960204,0.08603401217,89.0,-1.7752808988764044,0.44601286642580684,-2.0,-2.0,-2.0,-2.0,0.0
89.0,829593.4931460674,160209.41615269834,560765.69,672402.96,864864.51,955918.5,1117246.15,89.0,-0.0001393083865438203,0.056340368275415144,-0.1567273861,-0.02499541284,-0.001712422922,0.02506826225,0.1809486342,89.0,-1.5056179775280898,0.5249154803311841,-2.0,-2.0,-2.0,-1.0,0.0
90.0,952537.9996666666,84912.73654624927,832126.22,878419.2050000001,940193.1799999999,1015693.4225000001,1153567.44,90.0,0.0008248501076033327,0.02900641493537424,-0.09625237125,-0.0111095955325,-0.0012052695955,0.0195304184925,0.05882992399,90.0,-1.511111111111111,0.5245531955210412,-2.0,-2.0,-2.0,-1.0,0.0
90.0,920286.9103333334,81684.1634513113,804536.57,852040.37,874052.125,988533.415,1087577.09,90.0,-0.0015056030876871218,0.0273723867697402,-0.142141604,-0.011318169747499999,-0.0017573832715,0.007293657688250001,0.1067253376,90.0,-1.3888888888888888,0.5126368152693855,-2.0,-2.0,-1.0,-1.0,0.0
90.0,990253.0797777777,94969.42957841684,796074.42,896093.5700000001,1017115.02,1057484.1949999998,1146571.82,90.0,0.0006961371003633332,0.026190028588316993,-0.1066397373,-0.0121862877275,0.0014824808715,0.0146256276425,0.07156955446,90.0,-0.05555555555555555,0.9984382311256333,-1.0,-1.0,-1.0,1.0,1.0
87.0,974066.5518390806,48391.340481675856,853123.91,949254.01,973363.81,1015066.775,1074748.61,87.0,0.00024815631854712675,0.02490143486758411,-0.06701346215,-0.01151793671,0.0006445322289,0.01155482221,0.0754156285,87.0,0.735632183908046,0.6727204422126302,-1.0,1.0,1.0,1.0,1.0
89.0,954105.3613483146,87650.9975098962,782654.93,860907.17,981764.9,1024313.95,1098696.13,89.0,-0.00144782231634382,0.021375895323083816,-0.0817894557,-0.009702425856,0.0,0.01040980143,0.03947921212,89.0,0.5393258426966292,0.8401322917374503,-1.0,1.0,1.0,1.0,1.0
89.0,1000824.144719101,52911.61985770507,894556.73,947098.26,1020309.27,1040801.24,1099709.07,89.0,-0.00045978045641460703,0.019796844305652806,-0.07131469616,-0.007162902087,-0.001566777254,0.006249536476,0.05637050117,89.0,0.38202247191011235,0.9232553322782294,-1.0,-1.0,1.0,1.0,1.0
90.0,925608.2161111111,52798.40993947382,852060.33,890312.28,904906.45,975824.1625,1035118.81,90.0,0.0005380638859551112,0.017688055933016356,-0.06923797359,-0.0065291148435,0.00014980372028,0.00592437400775,0.07117954806,90.0,-0.23333333333333334,0.9720822085732868,-1.0,-1.0,-1.0,1.0,1.0
90.0,1118313.3875555557,123224.02772270412,960562.82,1050827.645,1091686.82,1157834.195,1517839.82,90.0,0.004570699266244445,0.026908926495293736,-0.1090404916,-0.007866835528,0.003071016006,0.01352680844,0.1153916845,90.0,0.8,0.6217047964529342,-1.0,1.0,1.0,1.0,2.0
90.0,1133971.5337777776,139599.2484878883,998334.84,1041751.5975,1072326.165,1170264.955,1570866.96,90.0,0.005361761590746666,0.025993060859933022,-0.05778340023,-0.007461017873,0.0024438709135,0.0224621584925,0.09461873814,90.0,1.0777777777777777,0.47941391601768374,-1.0,1.0,1.0,1.0,2.0
88.0,1535958.460568182,287520.446602647,994654.33,1234371.3975,1678352.815,1775246.9024999999,1916082.2,88.0,0.0068959292547772725,0.03202285838629714,-0.08516894356,-0.00923332158575,0.0053733229765000005,0.024985132375,0.109910806,88.0,1.5113636363636365,0.5251013735038126,0.0,1.0,2.0,2.0,2.0
89.0,998580.6861797754,59035.567927315366,890843.02,954046.05,991702.81,1040843.09,1167587.29,89.0,0.0001479569340323592,0.02446010820611843,-0.07126513549,-0.01646612123,0.0002013656064,0.01272814753,0.09917257338,89.0,1.0,0.7537783614444091,-1.0,1.0,1.0,1.0,2.0
89.0,906163.9487640449,77557.72505051066,741028.83,847960.83,916110.03,938932.83,1135240.83,89.0,-0.0012754068228932596,0.03157813605841513,-0.07740608395,-0.01919868463,-0.00111710255,0.01714599966,0.09454283,89.0,0.06741573033707865,1.0954218034515368,-2.0,-1.0,1.0,1.0,2.0
90.0,1023146.7506666667,69240.71912901769,891169.27,975812.755,1008201.4299999999,1062521.6099999999,1198750.73,90.0,0.0019701014658633663,0.026362592386415813,-0.07103198771,-0.013265666,0.0007963699988,0.01424348156,0.1178819131,90.0,-0.18888888888888888,1.079892258925117,-2.0,-1.0,-1.0,1.0,2.0
90.0,1165664.030777778,102941.60246357939,1000000.0,1087227.68,1141708.83,1263566.5925,1375928.23,90.0,0.0031936978449511105,0.02763322654506567,-0.07116247029,-0.0118637759875,0.0024939938365,0.01525608912,0.1339970631,90.0,1.3111111111111111,0.8823416806703567,-1.0,1.0,1.5,2.0,2.0
90.0,889798.6625555557,103670.43587107421,651826.25,789544.595,915065.38,957146.9525,1081752.3,90.0,-0.00292857435824,0.032006252554374046,-0.09542126216,-0.0206615391975,-0.001737740464,0.015061569165,0.1255677107,90.0,0.8111111111111111,1.1888474679799537,-2.0,1.0,1.0,2.0,2.0
87.0,847675.1459770115,73945.3781196895,708172.25,786930.9650000001,830183.67,928987.085,1000442.08,87.0,-0.0010980146442655175,0.030644017174114666,-0.09625593616,-0.013436793879999999,0.0,0.010662691955000001,0.1022259966,87.0,-0.7701149425287356,0.8852952394840913,-2.0,-1.0,-1.0,-1.0,1.0
